pH|Eh|TDS|Ca|K|Mg|Na|HCO3|CI|SO4|NO3|F|PO4|TH|TA|TS|SS|COD|BOD|DO
7.5|377|1780|269|19|75|338|226|852|302|42|1.1|0.4|977|185|3320|1540|0.4|1.1|6.7
7.4|382|1456|259|20|68|257|183|710|312|41|1.0|0.1|925|150|2946|1490|0.2|1.4|6.5
7.4|378|1471|476|35|66|238|189|710|797|40|1.1|0.1|1460|155|2976|1505|0.4|1.9|6.6
7.5|382|1578|374|17|60|226|220|745|413|39|1.1|0.1|1180|180|3144|1566|0.8|1.5|6.7
7.7|376|1411|291|7|58|191|214|710|178|40|1.1|0.1|966|175|2906|1495|1|1.4|7.0
7.8|380|1400|464|3|58|338|159|710|935|40|1.0|0.1|1400|130|2880|1480|0.4|1.9|6.1
7.6|374|1683|369|17|83|272|128|781|606|42|1.0|0.1|1261|105|3198|1515|0.8|0.4|6.0
7.3|377|1184|330|10|42|132|128|568|341|42|1.0|0.1|998|105|2559|1375|1.2|1.5|7.0
7.5|370|1784|311|39|73|352|153|781|634|7|1.0|0.1|1078|125|3240|1456|0.4|1.9|7.5
7.4|367|1319|316|8|59|447|134|639|925|45|1.0|0.1|1033|110|2820|1501|1|1.7|7.5
7.6|367|985|234|10|35|112|165|497|120|40|1.0|0.1|729|135|2317|1332|0.4|1.7|7.0
7.6|386|1048|214|5|37|109|140|426|178|38|1.0|0.1|689|115|2488|1440|1.2|0.5|6.9
7.5|382|1878|399|6|72|267|165|1065|202|43|1.0|0.1|1293|135|3463|1585|0.4|1.7|6.8
7.4|380|3028|427|10|133|482|159|1562|298|48|1.0|0.1|1615|130|4758|1730|0.8|1.7|7.1
7.4|378|2583|456|39|96|400|183|1349|350|46|0.9|0.1|1535|150|4253|1670|1|1.9|7.3
7.8|377|1124|262|4|38|109|153|568|92|39|0.9|0.1|812|125|2544|1420|0.4|1.9|7.0
7.8|377|800|246|16|26|64|171|426|120|28|1.0|0.1|723|140|2122|1322|0.4|2.0|6.2
7.2|389|3080|506|24|27|1816|110|3408|408|47|0.8|0.1|1376|90|4838|1758|1.2|1.6|6.9
7.1|394|6703|461|24|29|2661|128|4686|331|46|0.8|0.1|1272|105|8835|2132|1.2|0.4|6.2
7.0|387|10018|900|29|56|3879|116|7455|302|43|0.8|0.3|2478|95|12722|2704|1.2|1.5|6.9
7.0|382|2142|290|20|21|1251|153|1349|1402|45|1.0|0.1|811|125|3762|1620|1.6|1.8|7.3
7.1|388|5010|677|21|29|1639|110|3408|465|27|1.0|0.2|1810|140|6940|1930|1.2|1.1|6.7
7.6|355|406|239|5|12|207|159|213|612|44|1.0|0.1|646|130|1698|1292|1.2|1.9|7.3
