well|latitude|longitude|altitude.ft|fault|geology
1|28.63811|34.798061|257|400|"Sand,Granite"
2|28.603468|34.810458|1652|200|"Alkaline,Granite,Sand"
3|28.575879|34.844785|924|0|"Alkaline,Sandstone" 
4|28.620362|34.876969|1815|50|"Alkaline"
5|28.560586|34.990046|1408|50|"Granite,Volcanic"
6|28.602789|34.992551|2640|150|"Volcanic"
7|28.488311|34.976893|956|0|"Gypsum"
8|28.572316|34.807835|1312|100|"Alkaline"
9|28.438361|34.786616|595|200|"Gypsum"
10|28.553648|34.903739|2291|205|"Volcanic,Sandstone"
11|28.651337|34.876725|3168|0|"Alkaline,Granite" 
12|28.584441|35.186706|2307|200|"Granite"
13|28.512148|34.957213|1089|100|"Gypsum"
14|28.448275|34.93563|864|202|"Gypsum"
15|28.625897|35.051013|1494|80|"Volcanic" 
16|28.612935|35.218209|2284|400|"Granite,Alkaline,Volcanic" 
17|28.54015|35.065537|1167|206|"Gypsum,Sandstone"
